¿°»ö»öÂ÷ DL,¿°»ö»öÂ÷ DA,¿°»ö»öÂ÷ DB,¿°»ö»öÂ÷ DC,¿°»ö»öÂ÷ DH,¿°»ö»öÂ÷ DE
1.677704,0.3584623,0.9031057,0.9210701,-0.3093947,1.938759
2.743568,-0.7150769,-0.3234744,0.5635321,-0.5462616,2.853618
-4.022537,0.3271699,-0.0579834,-0.2080197,0.2590931,4.036237
1.283684,-0.3670158,0.7196198,-0.0776825,-0.8040637,1.516706
0.5694122,-0.382483,1.506221,1.512611,-0.3563763,1.655061
14.36498,-2.335787,-1.679927,1.961101,-2.105265,14.65028
-1.466248,0.4291534,-0.4786129,0.6421413,0.02995794,1.600976
1.210022,0.2273023,-0.1158118,-0.09414959,-0.237096,1.236621
-0.1112823,0.2690554,0.01727343,-0.1741774,0.2057945,0.2916726
-0.132225,-0.7354326,-0.5143394,0.671772,-0.5950871,0.9071327
-0.4541397,-0.4790721,-0.1528587,0.05347443,-0.5000164,0.677583
-0.3899078,-0.1188815,-0.7481937,0.7426729,-0.1495446,0.8520298
0.730751,-1.150967,0.4557838,-0.1640015,-1.227015,1.437519
0.9759102,-0.2132356,-0.05763817,-0.04966259,0.2152333,1.000596
-0.4456711,-0.6664095,1.147354,-1.25832,-0.420897,1.399695
-0.4433556,-0.6087427,-0.1541367,0.2916641,-0.5561095,0.7686936
-0.1723938,0.1620054,-0.3391147,-0.05244541,-0.3721478,0.4134781
1.032478,0.4250708,-0.08336306,0.306592,-0.3059998,1.119663
0.7904434,0.1593232,0.3030419,0.3063173,0.1529314,0.8614053
-0.2588959,-0.1029372,0.1103997,-0.01909208,0.149732,0.2996852
-1.503986,-0.3608465,-0.3308058,-0.3915055,-0.293881,1.58165
0.3182831,-0.2599657,-0.02744198,-0.2611542,0.01156317,0.411873
2.062012,0.5346837,0.6112456,-0.8031044,-0.1205457,2.216168
14.53206,-2.360731,-1.997524,2.260838,-2.109922,14.85745
-0.08480644,-1.924738,0.6770792,0.243432,-2.025783,2.042118
-0.3091507,-1.728981,-1.022577,-1.854326,-0.7723429,2.032391
-0.04967117,0.4648566,-0.4322886,0.4826714,0.4123027,0.6367357
-0.2340851,-0.1474172,0.3266037,-0.3375887,0.1201485,0.4280159
-0.02306366,0.000953674,0.4554043,-0.2487373,-0.3814757,0.4559889
0.1346636,0.2553463,-0.3138959,0.3748522,0.1523753,0.4264583
4.443735,-9.872808,-13.2142,15.7083,-5.033547,17.08315
-0.3514519,-0.6560535,0.272953,0.05085182,-0.708748,0.7927346
0.4647446,0.3563613,-0.5017757,0.5295209,0.3136556,0.7712067
-0.2421589,-1.063392,0.4724026,-0.006932259,-1.16358,1.188531
40.77452,71.19846,44.79358,81.55321,20.6097,93.47859
-1.879803,-1.256824,-8.716518,8.637021,-1.720222,9.005052
0.9504509,2.288103,1.912434,2.976734,-0.1785279,3.129884
0.8917274,3.370106,3.605099,4.926945,0.2820694,5.01493
1.517071,-0.105083,0.1070023,-0.05714321,-0.1386598,1.524466
1.795906,-0.1729727,0.4087329,-0.3039842,-0.3233815,1.849935
-0.4600525,-0.1690984,0.1504183,-0.2244608,-0.02893537,0.5127068
-0.1266174,0.1847446,-1.289821,1.298266,0.1107807,1.309122
-0.3651066,-0.2088994,0.2192497,-0.3025918,-0.01214951,0.4743545
-0.3917923,-0.2224147,0.1877248,-0.2873228,-0.04641715,0.4880677
-0.2730713,-0.1916587,-0.7208939,0.7133398,-0.2180994,0.7943481
12.88714,0.002518296,-2.911097,2.647798,-1.209822,13.21185
-0.2989922,-0.3530684,0.2924252,-0.1057568,-0.4460776,0.5473263
-1.545238,-1.553415,-0.9657025,-1.673002,-0.739421,2.394461
-1.605885,-0.1915395,-0.530827,0.5196049,0.2201716,1.702155
0.5040207,-0.5237162,-0.5289435,0.694324,-0.2682799,0.8989421
-0.604681,-1.484468,0.4279919,0.2315912,-1.527478,1.659055
0.6207275,-0.710413,0.3874359,-0.02484131,-0.8088115,1.019851
2.00407,2.683788,3.748001,4.534798,0.8281555,5.026582
-0.1848297,-1.466513,-0.4769325,-1.520945,-0.25466,1.553154
4.709295,-9.869204,-13.61562,16.05056,-5.01654,17.46321
4.152849,-9.591208,-13.66281,15.95132,-4.921273,17.20203
-2.029915,-0.410229,-0.1822174,0.09539723,-0.4386237,2.078953
